time[h],concentration[mg/l]
0.25,0.006987003
0.5,0.007382768
0.75,0.0111791007
1.0,0.01692758
1.5,0.02708388
2.0,0.0302356016
3.0,0.0249191411
4.0,0.02288097
5.0,0.01662453
6.0,0.0134555595
8.0,0.00685521774
12.0,0.001175887
144.0,0.06734853
144.25,0.06488737
144.5,0.07795903
144.75,0.148299113
145.0,0.262094617
145.5,0.3326082
146.0,0.3511841
147.0,0.3257984
148.0,0.2807979
149.0,0.2207847
150.0,0.17680499
152.0,0.1362602
156.0,0.0614339225
312.0,0.06229641
312.25,0.05900594
312.5,0.0708076954
312.75,0.08974919
313.0,0.1158429
313.5,0.131685
314.0,0.144353
315.0,0.1499213
316.0,0.1321864
317.0,0.108356692
318.0,0.09046827
320.0,0.06539156
324.0,0.03007823
